place_id,name,lat,lng,vicinity
ChIJyUr0V_q2Yw0RbrAUYdv0TqU,Bar De Tapas Salvador,38.26438839999999,-0.7075724999999999,"Carrer Poeta Miguel Hernandez, 69, Elx"
ChIJF6sC4vK3Yw0RWnVMEY7PtO0,Master kebab pizzeria,38.2625765,-0.7106135,"Carrer Antonio Pascual Quiles, 59, Elx"
ChIJt0_1Ofe2Yw0Rg12XqPpG4tE,SANCHEZ ROLDAN restaurante,38.2677086,-0.7043008,"Carrer Mariano Luiña, 16, Elx"
ChIJrayn8CG3Yw0RpLE1WTjxhLM,Melisa Taperia,38.2662374,-0.6773549999999998,"Carrer los Montesinos, 20, Elx"
ChIJ_U5-cP-3Yw0R5VVM1uA4Ba4,Bar El Paseo Restaurante,38.2722937,-0.7123832000000001,"Calle Obispo Barrachina, Calle Pedro Moreno Sastre, 34 esquina, Elche"
ChIJ_yKsB3q2Yw0RJ4pYagArZco,Gastro Bar El Cid,38.2831219,-0.6827154,"Partida de Altabix P1 226, Elche"
ChIJMTD8rIy2Yw0RvJnbSk7Mdq4,Newton Elche,38.26582199999999,-0.6960941999999999,"Plaça Glorieta, 2, Elx"
ChIJXbwtT223Yw0RaZmVRM7fkV4,Ouh! Papa,38.26106610000001,-0.7032328,"Carrer Federico García Lorca, 9, Elx"
ChIJDXxFDvG2Yw0RYN2PUykb9o8,Gustav Klimt,38.26736770000001,-0.7026747000000001,"Carrer del Marquès d'Asprella, 33, Elx"
ChIJyYkQH0e3Yw0RcWSgun6o2C0,Cocinamos para usted Altabix,38.27702939999999,-0.6774293,"Carrer Josep Joaquim Landerer, 7, Elx"
ChIJOQexqTm3Yw0Rlf50uDap2OU,Chicken Uncles | Elche,38.26530959999999,-0.6979353999999999,"Carrer Troneta, 11, Elx"
ChIJC6J1pda1Yw0RVO0S6kSuzmE,Bistro Artesanal cerrado,38.2783596,-0.6731984999999999,"Carrer Josefina Manresa, 109, Elx"
ChIJ9-dKfO-2Yw0Rt-tJ1t43yS0,Pizzeria Il Mondo Della Pizza,38.2586602,-0.7056361999999999,"Carrer Pere Joan Perpinyà, 35, Elx"
ChIJ-a6rU1O3Yw0R-0xtJDjmWWY,Aires Burger Bar | Elche,38.2653645,-0.6977045999999999,"Carrer Troneta, 13, Elx"
ChIJ3TO5xlW2Yw0R8bx79NxYgAw,Mucho mas Que Pizza,38.2740195,-0.7115830999999999,"Carrer Francisco Tomás y Valiente, 110, Elx"
ChIJbQ5pOfO2Yw0R-3ixCLkNRJ4,El Trastero Cervecería centro,38.2654795,-0.6969455,"Carrer Hospital, 11, Elx"
ChIJESkYk6-3Yw0RHvbmWcuDMzM,Restaurante Mistral II,38.2811683,-0.7235103999999999,"Carrer Monòver, 62, Elx"
ChIJu-df_ey2Yw0RutiqRHQbNJI,La fina del raval,38.2607044,-0.6975597,"Carrer Forn Fondo, 7, Elx"
ChIJBU99foC3Yw0RDeT2Bf7MljI,CUENCO ARROZ DE ORO,38.2726816,-0.7144455,"Carrer Pascual García Rocamora, 36, Elx"
ChIJIWb1XIy2Yw0ROIXCvlaQ1hs,Pizzería Piccola Torino,38.2654773,-0.693473,"Carrer Velarde, 24, Elx"
ChIJs7ic-0i3Yw0RFztlRZ0okoQ,Luna de Alberdi,38.2661319,-0.6975072999999999,"Replaceta de la Fregassa, 2, Local Centro, Elche"
ChIJ4_PAO9O1Yw0RZnmLHCATnpA,KFC,38.2734375,-0.6705915,"Carrer José Luis Navarro Campello, 6, Elx"
ChIJ28xxDea2Yw0Rk3YrVRX0Pi8,La Cantoneta De Josep,38.2558579,-0.7067353,"Carrer Antonio Moya Albaladejo, 42, Elx"
ChIJ1eWMpvS2Yw0RdgeO3riV4PQ,Museum Restaurante,38.2675011,-0.6970844999999999,"Plaza del Congreso Eucarístico, 17, Elx"
ChIJt6o4UYC2Yw0RlSQ6TIl3030,Golden City,38.2701416,-0.6793805,"Avinguda d'Alacant, 90, Elx"
